name mfr type calories protein fat sodium fiber carbo sugars potass vitamins shelf weight cups rating
Fruit_&_Fibre_Dates_Walnuts_and_Oats P C 120 3 2 160  5.0 12.0 10 200  25 3 1.25 0.67 40.91705
Fruity_Pebbles P C 110 1 1 135  0.0 13.0 12  25  25 2 1.00 0.75 28.02576
Golden_Grahams G C 110 1 1 280  0.0 15.0  9  45  25 2 1.00 0.75 23.80404
Grape_Nuts_Flakes P C 100 3 1 140  3.0 15.0  5  85  25 3 1.00 0.88 52.07690
Grape-Nuts P C 110 3 0 170  3.0 17.0  3  90  25 3 1.00 0.25 53.37101
Great_Grains_Pecan P C 120 3 3  75  3.0 13.0  4 100  25 3 1.00 0.33 45.81172
Honey_Graham_Ohs Q C 120 1 2 220  1.0 12.0 11  45  25 2 1.00 1.00 21.87129
Honey_Nut_Cheerios Q C 110 3 1 250  1.5 11.5 10  90  25 1 1.00 0.75 31.07222
Honey-comb P C 110 1 0 180  0.0 14.0 11  35  25 1 1.00 1.33 28.74241
Just_Right_Fruit_&_Nut Q C 140 3 1 170  2.0 20.0  9  95 100 3 1.30 0.75 36.47151
Kix P C 110 2 1 260  0.0 21.0  3  40  25 2 1.00 1.50 39.24111
Life Q C 100 4 2 150  2.0 12.0  6  95  25 2 1.00 0.67 45.32807
Lucky_Charms P C 110 2 1 180  0.0 12.0 12  55  25 2 1.00 1.00 26.73451
Muesli_Raisins_Dates_&_Almonds P C 150 4 3  95  3.0 16.0 11 170  25 3 1.00 1.00 37.13686
Muesli_Raisins_Peaches_&_Pecans R C 150 4 3 150  3.0 16.0 11 170  25 3 1.00 1.00 34.13976
Mueslix_Crispy_Blend K C 160 3 2 150  3.0 17.0 13 160  25 3 1.50 0.67 30.31335
Multi-Grain_Cheerios G C 100 2 1 220  2.0 15.0  6  90  25 1 1.00 1.00 40.10596
Nutri-Grain_Almond-Raisin K C 140 3 2 220  3.0 21.0  7 130  25 3 1.33 0.67 40.69232
Nutri-grain_Wheat K C  90 3 0 170  3.0 18.0  2  90  25 3 1.00 1.00 59.64284
Product_19 K C 100 3 0 320  1.0 20.0  3  45 100 3 1.00 1.00 41.50354
Puffed_Wheat Q C  50 2 0   0  1.0 10.0  0  50   0 3 0.50 1.00 63.00565
Quaker_Oat_Squares Q C 100 4 1 135  2.0 14.0  6 110  25 3 1.00 0.50 49.51187
Quaker_Oatmeal Q H 100 5 2   0  2.7 -1.0 -1 110   0 1 1.00 0.67 50.82839
Rice_Chex R C 110 1 0 240  0.0 23.0  2  30  25 1 1.00 1.13 41.99893
Rice_Krispies K C 110 2 0 290  0.0 22.0  3  35  25 1 1.00 1.00 40.56016
Shredded_Wheat N C  80 2 0   0  3.0 16.0  0  95   0 1 0.83 1.00 68.23588
Shredded_Wheat_spoon_size N C  90 3 0   0  3.0 20.0  0 120   0 1 1.00 0.67 72.80179
Smacks K C 110 2 1  70  1.0  9.0 15  40  25 2 1.00 0.75 31.23005
Special_K K C 110 6 0 230  1.0 16.0  3  55  25 1 1.00 1.00 53.13132
Strawberry_Fruit_Wheats N C  90 2 0  15  3.0 15.0  5  90  25 2 1.00 1.00 59.36399
Total_Corn_Flakes G C 110 2 1 200  0.0 21.0  3  35 100 3 1.00 1.00 38.83975
Triples G C 110 2 1 250  0.0 21.0  3  60  25 3 1.00 0.75 39.10617
Trix G C 110 1 1 140  0.0 13.0 12  25  25 2 1.00 1.00 27.75330
Wheat_Chex R C 100 3 1 230  3.0 17.0  3 115  25 1 1.00 0.67 49.78744
Wheaties G C 100 3 1 200  3.0 17.0  3 110  25 1 1.00 1.00 51.59219
Wheaties_Honey_Gold G C 110 2 1 200  1.0 16.0  8  60  25 1 1.00 0.75 36.18756
