"Minutes","Gender","Age"
212.35,"female",44
361.4666667,"male",51
285.5166667,"female",28
218.8333333,"female",46
204.2666667,"male",38
368.5,"male",42
194.4833333,"male",30
299.9166667,"female",56
440.2166667,"male",68
207.1166667,"male",38
194.9333333,"female",46
239.3166667,"female",26
223.05,"female",41
450.7333333,"female",60
259.1166667,"female",29
360.9833333,"male",53
391.75,"male",63
275.35,"female",44
378.3333333,"female",57
334.65,"female",59
285.85,"female",51
253.7333333,"male",41
244.9166667,"male",61
225.1166667,"male",52
358.0166667,"female",31
197.8333333,"male",41
366.1,"female",52
238.25,"male",49
289.0166667,"male",51
316.95,"female",49
393.4833333,"male",41
251.8833333,"male",29
189.1833333,"male",41
287.8666667,"female",49
411.85,"male",45
182.4166667,"male",39
221.8333333,"male",49
223.5833333,"female",35
370.8833333,"male",43
322.6833333,"male",45
185.4,"male",36
181.4,"male",41
292.6333333,"male",63
379.3,"female",41
212.0333333,"male",35
278.8666667,"male",57
215.5,"male",49
299.1666667,"male",33
315.1333333,"male",48
322.0666667,"male",44
213.3166667,"male",58
220.9666667,"male",52
252.3333333,"female",40
461.25,"male",47
349.7666667,"female",42
294.1666667,"female",50
286.4833333,"female",52
329.4666667,"female",39
208.8833333,"female",43
289.7333333,"female",34
203.1666667,"male",43
217.7666667,"male",41
303.5166667,"male",70
328.4166667,"male",43
254.7666667,"male",51
378.6333333,"female",36
206.2333333,"female",36
344.8833333,"female",33
357.4666667,"male",38
379.3333333,"female",43
228.6166667,"male",47
286.8833333,"female",47
207.9333333,"female",28
287.85,"female",36
410.15,"male",32
183.6333333,"male",46
204.8666667,"male",31
309.9833333,"male",46
207.4833333,"male",42
238.05,"male",53
265.4,"male",40
325.7666667,"female",44
224.3166667,"female",40
215.2166667,"male",48
349.9,"male",53
234.4166667,"female",47
183.4333333,"male",45
373.3666667,"female",48
308.1333333,"male",49
203.4833333,"male",40
298.9,"male",55
238.7,"female",46
194.55,"female",41
227.2166667,"male",51
362.6333333,"female",52
193.5666667,"male",32
451.5,"male",41
391.4166667,"female",27
320.9,"male",41
237.6166667,"male",51
238.0666667,"male",44
220.2333333,"female",51
199.9333333,"male",46
292.9166667,"male",29
261.75,"male",40
210.8166667,"female",29
326.45,"female",27
224.1833333,"female",42
238.0333333,"male",38
270.5,"male",61
234.8666667,"male",28
149.8833333,"male",27
220.8,"male",31
237.4166667,"male",34
496.3666667,"male",57
347.1166667,"male",51
274.1166667,"male",47
376.55,"male",49
262.8166667,"male",52
250.05,"male",35
435.15,"male",63
428,"male",29
215.1166667,"male",41
329.2666667,"male",53
212.7,"male",65
231.4333333,"female",50
175.0333333,"male",39
